Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Kurt Suzuki,LAA,72,219,247,49,35,8,0,6,75,21.99,17,16,12,0,44,11,3,2,7,0,0,0.224,0.294,0.342,0.636,0.174,0.662,4.90%,17.80%,76,0.282,-0.4,8259
James McCann,NYM,121,375,412,87,64,12,1,10,131,36.79,29,46,32,1,115,2,3,0,12,1,2,0.232,0.294,0.349,0.643,0.200,0.659,7.80%,27.90%,80,0.281,0.5,12859
Jose Peraza,NYM,64,142,154,29,16,7,0,6,54,13.47,21,20,9,0,26,3,0,0,5,1,0,0.204,0.266,0.380,0.647,0.246,0.661,5.80%,16.90%,80,0.28,0.2,13593
Hoy Park,- - -,45,128,150,25,15,5,2,3,43,12.89,16,14,18,1,38,1,1,1,4,1,1,0.195,0.297,0.336,0.633,0.281,0.662,12.00%,25.30%,73,0.279,0.1,18027
Taylor Walls,TBR,54,152,176,32,21,10,0,1,45,15.22,15,15,23,0,49,0,0,1,3,4,2,0.211,0.314,0.296,0.610,0.250,0.650,13.10%,27.80%,80,0.279,0.5,22458
Sergio Alcantara,CHC,89,220,255,45,31,6,3,5,72,24.06,30,17,30,2,74,2,2,1,3,3,0,0.205,0.303,0.327,0.630,0.273,0.668,11.80%,29.00%,71,0.279,0.3,16417
Stephen Piscotty,OAK,72,173,188,38,25,8,0,5,61,17.75,14,16,13,0,48,2,0,0,2,1,0,0.220,0.282,0.353,0.635,0.214,0.650,6.90%,25.50%,78,0.279,-0.6,13367
Phillip Evans,PIT,76,214,247,44,34,5,0,5,64,21.82,23,16,28,1,53,5,0,0,3,1,0,0.206,0.312,0.299,0.611,0.229,0.641,11.30%,21.50%,73,0.278,-0.5,12950
Mauricio Dubon,SFG,74,175,187,42,28,9,0,5,66,17.26,20,22,9,2,41,1,2,0,5,2,1,0.240,0.278,0.377,0.655,0.194,0.673,4.80%,21.90%,75,0.278,-0.1,16530
Andres Gimenez,CLE,68,188,210,41,26,10,0,5,66,21.68,23,16,11,0,54,7,3,1,1,11,0,0.218,0.282,0.351,0.633,0.250,0.697,5.20%,25.70%,73,0.277,0.8,19950
Billy McKinney,- - -,116,265,300,51,28,11,3,9,95,28.39,32,27,32,2,79,1,2,0,3,2,0,0.192,0.280,0.358,0.638,0.294,0.664,10.70%,26.30%,73,0.277,0.3,15654
Andrew Stevenson,WSN,109,192,213,44,33,6,0,5,65,19.40,22,23,13,2,61,5,1,2,3,1,1,0.229,0.294,0.339,0.632,0.177,0.653,6.10%,28.60%,69,0.276,-0.1,17932
Carter Kieboom,WSN,62,217,249,45,33,6,0,6,69,20.49,26,20,25,2,62,5,2,0,9,0,0,0.207,0.301,0.318,0.619,0.226,0.647,10.00%,24.90%,68,0.275,-0.7,19958
Gregory Polanco,PIT,107,336,382,70,45,12,2,11,119,36.23,38,36,36,2,104,2,8,0,8,14,1,0.208,0.283,0.354,0.637,0.292,0.691,9.40%,27.20%,71,0.275,-1.2,12907
Wilson Ramos,- - -,44,151,163,31,18,5,0,8,60,14.84,15,20,9,0,36,0,1,0,2,0,0,0.205,0.248,0.397,0.646,0.252,0.655,5.50%,22.10%,72,0.275,-0.4,1433
Didi Gregorius,PHI,103,368,408,77,46,16,2,13,136,37.38,35,54,25,1,67,8,7,0,8,3,0,0.209,0.270,0.370,0.639,0.236,0.666,6.10%,16.40%,68,0.275,0,6012
Lewis Brinson,MIA,89,274,290,62,39,14,0,9,103,26.12,24,33,13,0,72,1,1,1,5,1,1,0.226,0.263,0.376,0.639,0.197,0.649,4.50%,24.80%,74,0.275,-0.2,14352
Jason Heyward,CHC,104,323,353,69,44,15,2,8,112,32.52,35,30,27,1,68,3,0,0,4,5,1,0.214,0.280,0.347,0.627,0.229,0.649,7.60%,19.30%,68,0.275,0.3,4940
Ryan O'Hearn,KCR,84,236,254,53,38,5,1,9,87,22.20,23,29,13,0,71,2,3,0,7,0,0,0.225,0.268,0.369,0.636,0.199,0.652,5.10%,28.00%,70,0.274,-0.7,16442
Juan Lagares,LAA,112,309,327,73,45,20,2,6,115,28.24,39,38,12,0,76,1,1,4,8,1,2,0.236,0.266,0.372,0.638,0.172,0.648,3.70%,23.20%,71,0.274,-0.3,5384
Ronald Torreyes,PHI,112,318,344,77,59,10,1,7,110,30.75,30,41,19,2,41,1,1,5,7,2,1,0.242,0.286,0.346,0.632,0.167,0.651,5.50%,11.90%,68,0.274,0.6,11400
Victor Robles,WSN,107,315,369,64,40,21,1,2,93,30.28,37,19,33,3,85,16,1,4,7,8,6,0.203,0.310,0.295,0.605,0.203,0.645,8.90%,23.00%,67,0.274,-0.5,18363
Jorge Alfaro,MIA,92,295,311,72,52,15,1,4,101,27.77,22,30,11,0,99,5,0,0,8,8,1,0.244,0.283,0.342,0.625,0.159,0.651,3.50%,31.80%,73,0.274,0.6,12180
Victor Caratini,SDP,116,313,356,71,55,9,0,7,101,30.57,33,39,35,8,82,4,4,0,13,2,0,0.227,0.309,0.323,0.632,0.214,0.663,9.80%,23.00%,72,0.273,-0.7,14968
David Fletcher,LAA,157,626,665,164,132,27,3,2,203,61.23,74,47,31,1,60,1,1,6,10,15,3,0.262,0.297,0.324,0.622,0.131,0.649,4.70%,9.00%,70,0.273,0.3,17992
John Nogowski,- - -,52,129,143,30,22,7,0,1,40,12.28,14,14,12,0,22,1,1,0,2,0,1,0.233,0.301,0.310,0.611,0.163,0.628,8.40%,15.40%,70,0.273,-0.4,16852
Willians Astudillo,MIN,73,208,216,49,34,8,0,7,78,16.37,17,21,3,0,12,4,1,0,12,0,0,0.236,0.259,0.375,0.634,0.154,0.641,1.40%,5.60%,70,0.272,-0.8,15608
DJ Peters,- - -,70,223,240,44,21,9,1,13,94,22.32,29,38,12,4,82,2,3,0,4,2,0,0.197,0.242,0.422,0.663,0.287,0.681,5.00%,34.20%,71,0.272,0.3,19348
Kyle Higashioka,NYY,67,193,211,35,15,10,0,10,75,18.19,20,29,17,0,59,0,1,0,4,0,0,0.181,0.246,0.389,0.635,0.295,0.647,8.10%,28.00%,71,0.272,0.6,5517
Dylan Moore,SEA,126,332,377,60,35,11,2,12,111,33.03,42,43,40,0,111,4,1,0,6,21,5,0.181,0.276,0.334,0.610,0.322,0.666,10.60%,29.40%,74,0.271,0.2,18042
Adam Eaton,- - -,84,254,288,51,33,10,2,6,83,24.33,38,30,22,0,71,7,1,4,6,3,0,0.201,0.282,0.327,0.608,0.224,0.642,7.60%,24.70%,70,0.271,-0.3,11205
Willi Castro,DET,125,413,450,91,61,15,6,9,145,40.33,56,38,23,1,109,8,3,3,5,9,4,0.220,0.273,0.351,0.624,0.199,0.651,5.10%,24.20%,69,0.271,-0.4,17338
Kelvin Gutierrez,- - -,85,272,295,63,49,8,3,3,86,25.26,23,20,19,0,76,4,0,0,4,0,1,0.232,0.292,0.316,0.608,0.151,0.620,6.40%,25.80%,67,0.27,-0.6,17468
Jarred Kelenic,SEA,93,337,377,61,33,13,1,14,118,31.81,41,43,36,0,106,3,1,0,5,6,4,0.181,0.265,0.350,0.615,0.282,0.638,9.50%,28.10%,73,0.27,-0.7,22558
Ha-seong Kim,SDP,117,267,298,54,32,12,2,8,94,26.02,27,34,22,1,71,4,3,2,6,6,1,0.202,0.270,0.352,0.622,0.251,0.658,7.40%,23.80%,70,0.27,0.6,27506
Stephen Vogt,- - -,78,210,238,41,27,6,1,7,70,21.11,24,25,26,2,56,0,1,1,2,0,0,0.195,0.283,0.333,0.616,0.262,0.639,10.90%,23.50%,64,0.27,0.1,5000
Elvis Andrus,OAK,146,497,541,121,91,25,2,3,159,46.72,60,37,31,2,81,6,4,3,14,12,2,0.243,0.294,0.320,0.614,0.159,0.648,5.70%,15.00%,72,0.27,1.1,8709
Taylor Trammell,SEA,51,156,178,25,10,7,0,8,56,14.58,23,18,17,0,75,3,0,2,1,2,3,0.160,0.256,0.359,0.615,0.301,0.633,9.60%,42.10%,73,0.27,-0.1,19960
Nick Ahmed,ARI,129,434,473,96,58,30,3,5,147,41.13,46,38,34,3,104,2,1,2,9,7,2,0.221,0.280,0.339,0.619,0.207,0.643,7.20%,22.00%,64,0.269,0,12147
Matt Carpenter,STL,130,207,249,35,20,11,1,3,57,20.77,18,21,35,1,77,6,1,0,1,2,0,0.169,0.305,0.275,0.581,0.285,0.627,14.10%,30.90%,70,0.269,-0.3,8090
Mike Brosseau,TBR,57,150,169,28,14,9,0,5,52,15.23,21,18,15,0,53,2,2,0,1,2,0,0.187,0.266,0.347,0.613,0.273,0.645,8.90%,31.40%,73,0.268,-0.2,19683
Danny Mendick,CHW,71,164,186,36,29,5,0,2,47,15.46,14,20,18,0,42,2,1,1,1,0,1,0.220,0.303,0.287,0.589,0.171,0.615,9.70%,22.60%,68,0.268,0.2,18889
David Bote,CHC,97,291,327,58,38,10,2,8,96,24.73,32,35,27,0,73,5,3,1,13,0,1,0.199,0.276,0.330,0.606,0.220,0.628,8.30%,22.30%,64,0.268,-0.6,14593
Yonny Hernandez,TEX,43,143,166,31,26,5,0,0,36,13.94,15,6,17,0,32,4,1,1,2,11,2,0.217,0.315,0.252,0.567,0.217,0.650,10.20%,19.30%,66,0.265,0.5,19432
Nomar Mazara,DET,50,165,181,35,25,5,2,3,53,14.59,12,19,15,0,45,0,1,0,4,0,0,0.212,0.276,0.321,0.597,0.200,0.616,8.30%,24.90%,64,0.264,-0.5,14553
Maikel Franco,BAL,104,377,403,79,46,22,0,11,134,31.61,31,47,20,0,67,3,3,0,12,0,0,0.210,0.253,0.355,0.609,0.199,0.622,5.00%,16.60%,62,0.263,-0.3,12179
Jose Trevino,TEX,89,285,302,68,49,14,0,5,97,22.51,23,30,12,1,57,0,3,2,13,1,1,0.239,0.267,0.340,0.607,0.144,0.623,4.00%,18.90%,64,0.261,0.6,16725
Joshua Fuentes,COL,95,271,284,61,42,11,1,7,95,23.56,30,33,12,1,65,0,1,0,5,0,0,0.225,0.257,0.351,0.608,0.170,0.616,4.20%,22.90%,48,0.261,-0.3,16885
Jason Martin,TEX,58,144,154,30,21,3,0,6,51,13.02,14,17,8,0,41,0,1,1,1,3,1,0.208,0.248,0.354,0.603,0.215,0.628,5.20%,26.60%,63,0.26,0,16429
Mike Tauchman,- - -,75,166,191,30,21,5,0,4,47,14.77,22,15,23,0,58,1,0,1,0,3,3,0.181,0.284,0.283,0.567,0.241,0.600,12.00%,30.40%,63,0.26,-0.2,15274
Eric Sogard,CHC,78,169,180,42,34,6,1,1,53,14.42,16,12,9,1,30,0,2,0,5,3,1,0.249,0.283,0.314,0.597,0.130,0.624,5.00%,16.70%,59,0.259,-0.4,7927
Marwin Gonzalez,- - -,91,276,307,55,36,14,0,5,84,22.69,30,28,20,0,78,9,1,1,8,3,2,0.199,0.275,0.304,0.579,0.181,0.605,6.50%,25.40%,58,0.259,-0.7,5497
Brock Holt,TEX,77,235,260,49,33,13,1,2,70,20.45,21,23,23,0,49,1,1,0,5,5,1,0.209,0.281,0.298,0.579,0.204,0.613,8.80%,18.80%,62,0.259,-0.3,9345
Ryan McKenna,BAL,90,169,197,31,22,6,1,2,45,15.16,20,14,24,0,74,2,0,2,1,1,0,0.183,0.292,0.266,0.559,0.231,0.598,12.20%,37.60%,59,0.259,-0.3,19928
Martin Maldonado,HOU,125,373,426,64,41,10,1,12,112,31.59,40,36,47,1,127,5,1,0,9,0,0,0.172,0.272,0.300,0.573,0.255,0.599,11.00%,29.80%,63,0.258,0.2,6887
Jake Bauers,- - -,115,282,315,59,48,7,0,4,78,25.28,27,19,30,1,78,2,0,0,1,6,1,0.209,0.290,0.277,0.566,0.191,0.603,9.50%,24.80%,63,0.257,-0.7,15194
Jonah Heim,TEX,82,265,285,52,29,13,0,10,95,21.28,22,32,15,0,58,1,3,1,8,3,1,0.196,0.239,0.358,0.598,0.226,0.620,5.30%,20.40%,60,0.256,1.1,16930
Tomas Nido,NYM,58,153,161,34,25,5,1,3,50,12.35,16,13,5,1,44,3,0,0,4,1,0,0.222,0.261,0.327,0.588,0.144,0.601,3.10%,27.30%,63,0.254,0.9,13755
Eli White,TEX,64,198,220,35,22,6,1,6,61,16.26,26,15,18,0,66,4,0,0,2,4,3,0.177,0.259,0.308,0.567,0.227,0.593,8.20%,30.00%,58,0.253,-0.1,19346
Isan Diaz,MIA,89,238,277,46,33,9,0,4,67,21.72,25,17,34,6,73,1,3,1,2,1,1,0.193,0.293,0.282,0.575,0.231,0.613,12.30%,26.40%,60,0.253,-0.7,17922
Andrelton Simmons,MIN,131,412,451,92,77,12,0,3,113,31.24,37,31,32,0,62,3,1,3,14,1,0,0.223,0.283,0.274,0.558,0.131,0.582,7.10%,13.70%,56,0.252,-0.5,10847
Roberto Perez,CLE,44,141,161,21,11,3,0,7,45,12.09,13,17,17,0,56,1,0,2,1,1,0,0.149,0.245,0.319,0.564,0.298,0.595,10.60%,34.80%,56,0.251,-0.3,2900
Keston Hiura,MIL,61,173,197,29,15,9,1,4,52,13.53,16,19,14,0,77,7,1,2,6,3,0,0.168,0.256,0.301,0.557,0.231,0.598,7.10%,39.10%,52,0.25,-0.7,20003
Kevin Newman,PIT,148,517,554,117,87,22,3,5,160,43.10,50,39,27,3,41,1,3,6,7,6,1,0.226,0.265,0.309,0.574,0.145,0.600,4.90%,7.40%,54,0.249,0.3,17696
David Dahl,TEX,63,205,220,43,28,11,0,4,66,16.36,19,18,10,0,59,1,3,1,3,2,1,0.210,0.247,0.322,0.569,0.166,0.593,4.50%,26.80%,54,0.246,-0.8,13744
Joe Panik,- - -,95,236,257,49,37,9,0,3,67,16.93,17,18,17,1,34,2,1,1,9,2,0,0.208,0.266,0.284,0.550,0.157,0.576,6.60%,13.20%,51,0.244,-1.2,11936
Erik Gonzalez,PIT,71,220,229,51,41,7,1,2,66,16.12,17,21,8,0,40,0,1,0,4,2,2,0.232,0.258,0.300,0.558,0.105,0.570,3.50%,17.50%,50,0.244,-0.7,13369
Luis Rengifo,LAA,54,174,190,35,28,1,0,6,54,13.57,22,18,9,0,38,2,2,3,3,1,0,0.201,0.246,0.310,0.556,0.167,0.586,4.70%,20.00%,50,0.244,-0.4,19858
Shogo Akiyama,CIN,88,162,183,33,25,8,0,0,41,12.27,16,12,14,1,40,4,1,1,1,2,3,0.204,0.282,0.253,0.535,0.130,0.566,7.70%,21.90%,44,0.243,-0.5,27461
Jarrod Dyson,- - -,102,135,149,28,19,7,2,0,39,10.50,17,10,10,0,33,0,1,3,1,10,5,0.207,0.260,0.289,0.549,0.193,0.610,6.70%,22.10%,48,0.243,-0.2,4866
Owen Miller,CLE,60,191,202,39,27,8,0,4,59,13.13,17,18,9,0,54,1,1,0,7,2,0,0.204,0.243,0.309,0.551,0.162,0.572,4.50%,26.70%,49,0.241,-1.1,24655
Jake Cave,MIN,76,164,178,31,21,6,1,3,48,12.66,14,13,10,0,62,3,0,1,0,1,1,0.189,0.249,0.293,0.541,0.165,0.560,5.60%,34.80%,49,0.241,-0.3,14477
Magneuris Sierra,MIA,123,209,225,48,41,6,1,0,56,17.94,27,5,15,4,50,0,0,1,1,11,0,0.230,0.281,0.268,0.549,0.163,0.606,6.70%,22.20%,51,0.239,-0.2,17023
Pat Valaika,BAL,91,259,281,52,39,8,0,5,75,19.03,17,25,16,0,76,2,3,1,4,1,1,0.201,0.250,0.290,0.540,0.151,0.563,5.70%,27.00%,46,0.238,-1,14885
Andrew Knizner,STL,63,161,185,28,20,7,0,1,38,10.63,18,9,20,2,39,4,0,0,7,0,0,0.174,0.281,0.236,0.517,0.186,0.551,10.80%,21.10%,50,0.238,-1,19514
Tim Locastro,- - -,64,139,156,25,19,4,0,2,35,9.76,15,7,7,0,33,9,1,0,2,5,3,0.180,0.263,0.252,0.515,0.137,0.560,4.50%,21.20%,44,0.237,-0.7,15124
Cody Bellinger,LAD,95,315,350,52,31,9,2,10,95,24.51,39,36,31,2,94,1,3,0,2,3,1,0.165,0.240,0.302,0.542,0.241,0.571,8.90%,26.90%,48,0.237,-0.8,15998
Rio Ruiz,- - -,62,125,141,21,14,4,0,3,34,8.79,11,10,12,0,38,1,2,1,3,2,0,0.168,0.243,0.272,0.515,0.216,0.561,8.50%,27.00%,37,0.231,-0.4,14103
Cal Raleigh,SEA,47,139,148,25,11,12,0,2,43,9.24,6,13,7,0,52,1,1,0,3,0,0,0.180,0.223,0.309,0.532,0.180,0.547,4.70%,35.10%,47,0.231,0.1,21534
Zack Short,DET,61,156,184,22,12,4,0,6,44,11.66,21,20,22,1,59,0,6,0,4,2,0,0.141,0.239,0.282,0.521,0.295,0.579,12.00%,32.10%,41,0.23,-0.7,19562
Austin Hedges,CLE,88,286,312,51,34,7,0,10,88,18.77,32,31,15,1,87,1,3,7,7,1,0,0.178,0.220,0.308,0.527,0.185,0.557,4.80%,27.90%,40,0.227,0.1,12976
Alex Jackson,- - -,52,131,151,18,11,4,0,3,31,9.04,13,12,13,1,73,7,0,0,0,0,0,0.137,0.252,0.237,0.488,0.198,0.523,8.60%,48.30%,41,0.227,-0.5,17276
Sandy Leon,MIA,84,202,220,37,28,5,0,4,54,13.51,15,14,12,0,65,3,2,1,2,0,0,0.183,0.237,0.267,0.505,0.144,0.530,5.50%,29.50%,42,0.225,-0.6,5273
Michael Perez,PIT,70,210,231,30,14,8,1,7,61,13.18,19,21,19,1,68,2,0,0,4,0,1,0.143,0.221,0.290,0.511,0.233,0.528,8.20%,29.40%,38,0.225,-0.9,12977
Jackie Bradley Jr.,MIL,134,387,428,63,40,14,3,6,101,24.95,39,29,28,0,132,10,3,0,8,7,1,0.163,0.236,0.261,0.497,0.186,0.536,6.50%,30.80%,35,0.224,-0.8,12984
Leody Taveras,TEX,49,174,185,28,17,6,2,3,47,10.17,14,9,9,0,60,1,0,1,3,10,1,0.161,0.207,0.270,0.477,0.213,0.533,4.90%,32.40%,29,0.209,0.1,18900
Andrew Knapp,PHI,62,145,159,22,17,3,0,2,31,7.30,13,11,10,0,61,2,1,1,1,0,0,0.152,0.215,0.214,0.429,0.131,0.459,6.30%,38.40%,18,0.196,-1.1,14942
