Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Raimel Tapia,COL,133,487,533,133,99,26,2,6,181,70.74,69,50,40,2,70,1,4,1,8,20,6,0.273,0.327,0.372,0.699,0.209,0.734,7.50%,13.10%,76,0.305,0.4,14350
Aristides Aquino,CIN,84,174,204,33,16,6,1,10,71,30.88,25,23,27,2,75,1,2,0,0,2,2,0.19,0.299,0.408,0.707,0.374,0.726,13.20%,36.80%,83,0.303,0.1,15482
Harold Ramirez,CLE,99,339,361,91,62,21,1,7,135,42.97,33,41,14,1,56,5,3,0,10,3,1,0.268,0.305,0.398,0.703,0.177,0.718,3.90%,15.50%,90,0.302,0,14387
Willie Calhoun,TEX,75,260,284,65,46,10,3,6,99,35.77,26,25,21,0,34,2,1,0,6,0,2,0.25,0.31,0.381,0.691,0.204,0.698,7.40%,12.00%,91,0.301,-0.6,17838
Jeff McNeil,NYM,120,386,426,97,70,19,1,7,139,52.99,48,35,29,0,58,10,1,0,10,3,0,0.251,0.319,0.36,0.679,0.192,0.699,6.80%,13.60%,93,0.301,0.5,15362
Trevor Larnach,MIN,79,260,301,58,39,12,0,7,91,41.89,29,28,31,0,104,8,2,0,3,1,0,0.223,0.322,0.35,0.672,0.25,0.699,10.30%,34.60%,89,0.3,0.2,21501
Phil Gosselin,LAA,104,345,373,90,69,14,0,7,125,47.15,40,47,24,0,81,3,1,0,3,4,2,0.261,0.314,0.362,0.676,0.177,0.692,6.40%,21.70%,87,0.297,0.1,10953
Kevin Pillar,NYM,124,325,347,75,47,11,2,15,135,38.66,40,47,11,0,81,10,1,0,5,4,3,0.231,0.277,0.415,0.692,0.222,0.702,3.20%,23.30%,90,0.297,0.7,12434
Oscar Mercado,CLE,72,214,238,48,30,11,1,6,79,30.88,27,19,21,0,42,2,0,1,1,7,1,0.224,0.3,0.369,0.669,0.271,0.702,8.80%,17.60%,85,0.294,0.6,16375
Jurickson Profar,SDP,137,353,412,80,57,17,2,4,113,51.27,47,33,49,1,65,6,2,1,12,10,5,0.227,0.329,0.32,0.649,0.246,0.688,11.90%,15.80%,85,0.293,-0.7,10815
Dominic Smith,NYM,145,446,493,109,78,20,0,11,162,57.97,43,58,32,2,112,9,6,0,13,2,1,0.244,0.304,0.363,0.667,0.193,0.688,6.50%,22.70%,86,0.291,-0.5,15653
Clint Frazier,NYY,66,183,218,34,20,9,0,5,58,27.73,20,15,32,0,65,3,0,0,8,2,0,0.186,0.317,0.317,0.633,0.317,0.67,14.70%,29.80%,83,0.289,-0.9,15983
Marcell Ozuna,ATL,48,188,208,40,27,6,0,7,67,23.68,21,26,19,0,46,1,0,0,6,0,0,0.213,0.288,0.356,0.645,0.245,0.659,9.10%,22.10%,73,0.284,-0.3,10324
Billy McKinney,- - -,116,265,300,51,28,11,3,9,95,37.01,32,27,32,2,79,1,2,0,3,2,0,0.192,0.28,0.358,0.638,0.294,0.664,10.70%,26.30%,73,0.277,0.3,15654
Andrew Stevenson,WSN,109,192,213,44,33,6,0,5,65,22.93,22,23,13,2,61,5,1,2,3,1,1,0.229,0.294,0.339,0.632,0.177,0.653,6.10%,28.60%,69,0.276,-0.1,17932
Lewis Brinson,MIA,89,274,290,62,39,14,0,9,103,29.25,24,33,13,0,72,1,1,1,5,1,1,0.226,0.263,0.376,0.639,0.197,0.649,4.50%,24.80%,74,0.275,-0.2,14352
DJ Peters,- - -,70,223,240,44,21,9,1,13,94,25.11,29,38,12,4,82,2,3,0,4,2,0,0.197,0.242,0.422,0.663,0.287,0.681,5.00%,34.20%,71,0.272,0.3,19348
Dylan Moore,SEA,126,332,377,60,35,11,2,12,111,40.32,42,43,40,0,111,4,1,0,6,21,5,0.181,0.276,0.334,0.61,0.322,0.666,10.60%,29.40%,74,0.271,0.2,18042
Eli White,TEX,64,198,220,35,22,6,1,6,61,20.02,26,15,18,0,66,4,0,0,2,4,3,0.177,0.259,0.308,0.567,0.227,0.593,8.20%,30.00%,58,0.253,-0.1,19346
David Dahl,TEX,63,205,220,43,28,11,0,4,66,18.72,19,18,10,0,59,1,3,1,3,2,1,0.21,0.247,0.322,0.569,0.166,0.593,4.50%,26.80%,54,0.246,-0.8,13744
J.D. Martinez,BOS,148,570,634,163,90,42,3,28,295,118.18,92,99,55,6,150,3,5,0,18,0,0,0.286,0.349,0.518,0.867,0.328,0.869,8.70%,23.70%,128,0.364,2.9,6184
